재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         현금및예치금,"995,377,355,506","734,805,218,434","428,283,541,750"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         매도가능금융자산,0,"19,859,353,480,295","19,600,960,336,332"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         당기손익인식금융자산,0,"756,756,400,935","990,726,745,419"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         만기보유금융자산,0,"8,701,350,471,925","6,092,280,494,930"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         재보험자산,0,0,"992,999,106,796"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         특별계정자산,0,0,"5,716,367,801,069"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         대여금및수취채권,0,"10,815,080,959,006","13,377,864,346,791"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         자산총계,"48,513,527,683,125","45,112,738,913,110","51,188,047,571,780"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         당기법인세자산,0,"18,453,866,677",0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         파생상품자산,"186,905,018,617","303,338,421,764","23,333,601,095"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,            위험회피목적파생상품자산,"186,905,018,617","303,338,421,764","23,333,601,095"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         상각후원가측정금융자산,"11,813,123,755,885",0,0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,            상각후원가측정대출채권,"11,176,992,961,837",0,0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,            상각후원가측정기타금융자산,"636,130,794,048",0,0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         기타포괄손익-공정가치측정금융자산,"19,545,190,388,694",0,0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         당기손익-공정가치측정금융자산,"11,183,349,499,132",0,0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         보험계약자산,"480,182,995,754","205,094,333,463",0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         무형자산,"93,269,759,182","99,810,346,205","108,282,253,844"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         투자부동산,"755,240,997,211","749,785,781,453","767,173,856,757"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         관계종속기업투자자산-원가법,"860,493,081,155","860,493,081,155","807,293,081,155"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         기타자산,"236,938,832,885","55,617,349,251","1,879,224,511,689"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         유형자산,"451,019,273,638","453,152,793,144","403,257,894,153"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         순확정급여자산,"69,029,864,342","95,098,342,488",0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,         재보험계약자산,"1,843,406,861,124","1,404,548,066,915",0
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,            자본조정,"-152,492,009,860","-152,492,009,860","-152,492,009,860"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,            자본잉여금,"37,912,781,518","37,912,781,518","37,912,781,518"
재무상태표,005830,DB손해보험,유가증권시장상장법인,651,보험업,KRW,            기타포괄손익누계액,"104,094,845,528","1,867,440,203,082","740,067,915,934"
