재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         현금및예치금,"194,390,741,726","213,506,944,279","17,345,340,895"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         상각후원가측정대출채권,"9,950,799,800","59,865,933,000","84,832,418,650"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자산총계,"4,479,699,440,828","4,354,003,044,351","3,974,995,290,938"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이연법인세자산,"2,254,173,543","6,925,722,628",0
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         파생상품자산,"19,340,625,000","8,168,125,000","9,856,875,000"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         당기손익-공정가치측정금융자산,"280,085,540,000","264,214,280,000",0
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         무형자산,"6,206,761,052","4,670,713,309","3,553,857,030"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         종속기업투자자산,"3,928,696,861,334","3,662,655,393,616","3,611,208,919,111"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기타자산,"34,233,914,264","126,939,841,829","242,801,489,610"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         유형자산,"4,128,414,421","5,774,487,733","5,396,390,642"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         확정급여자산,"411,609,688","1,281,602,957",0
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자본조정,"-20,577,892,780","-9,980","-9,980"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자본잉여금,"1,560,627,689,565","1,560,627,689,565","1,560,627,689,565"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            신종자본증권,"613,764,871,000","498,097,600,000","498,097,600,000"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            기타포괄손익누계액,"-1,175,857,974","-117,117,983","-1,659,854,424"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자본총계,"3,379,994,050,650","3,234,906,369,676","3,208,013,894,424"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자본금,"845,729,165,000","845,729,165,000","845,729,165,000"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            이익잉여금,"381,626,075,839","330,569,043,074","305,219,304,263"
