재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         자산총계,"7,421,242,973,843","7,096,049,373,284","7,260,100,608,954"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         현금및현금성자산,"578,856,112,075","575,654,420,485","480,242,445,713"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         당기법인세자산,"17,071,812,690","13,839,503,653",0
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         상각후원가측정금융자산,"1,400,621,675,507","1,579,765,001,293","1,933,594,356,963"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         기타포괄손익-공정가치측정금융자산,"216,534,575,397","148,367,544,072","131,833,654,147"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         당기손익-공정가치측정금융자산,"4,967,547,094,796","4,611,375,555,286","4,567,446,503,898"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         무형자산,"32,089,054,256","33,356,652,351","28,191,533,946"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         관계기업투자자산,"5,853,233,548","9,336,449,939","8,086,449,939"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         종속기업투자자산,"77,801,887,122","74,538,420,775","71,538,420,775"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         기타자산,"8,796,815,537","12,073,305,446","7,133,970,434"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         유형자산,"107,224,660,404","26,367,923,171","26,583,532,656"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         순확정급여자산,"4,989,895,405","7,450,953,573","1,225,416,937"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,         사용권자산,"3,856,157,106","3,923,643,240","4,224,323,546"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,            자본조정,"-11,842,082,310","-11,842,082,310","-7,547,101,300"
재무상태표,016610,DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,KRW,            자본잉여금,"118,924,276,364","118,924,276,364","118,924,276,364"
