corp_code,corp_name,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
01718407,주식회사 블랙야크아이앤씨,블랙야크아이앤씨,478560,김태효,코스닥,1101115201431.0,1198675454,서울특별시 서초구 바우뫼로 201 &nbsp,www.blackyakinc.com,미제공,02-2286-9354,02-2286-9482,152,20130808,12
01601286,미래에셋비전기업인수목적1호 주식회사,미래에셋비전기업인수목적1호,412930,김필수,기타,1101118103501.0,5618802568,서울특별시 중구 을지로5길 26 (미래에셋센터원빌딩 이스트빌딩),미제공,미제공,02-3774-3762,미제공,66199,20211123,12
01091382,(주)세토피아,세토피아,222810,서상철,코스닥,1101115745520.0,3278600082,서울특별시 강남구 삼성로81길 35 3층,www.se-topia.com,미제공,02-3497-8900,02-3771-9643,241,20150608,12
00585219,세원이앤씨(주),세원이앤씨,091090,김종성,유가,1101113489609.0,1078680236,경상남도 창원시 성산구 공단로 211 -,www.sewonenc.com,미제공,055-269-7000,055-261-3853,251,20060703,12
01274310,이오플로우(주),이오플로우,294090,김재진,코스닥,1101114694679.0,1058762879,경기도 성남시 분당구 황새울로 216 휴맥스빌리지 302호,www.eoflow.com,www.eoflow.com,031-724-0241,031-724-0248,27199,20110927,12
00161408,케이비캐피탈(주),케이비캐피탈,021960,빈중일,기타,1301110013499.0,1248125121,경기도 수원시 팔달구  효원로  295,www.kbcapital.co.kr,미제공,02-1544-1200,031-220-8188,64911,19890912,12
00876166,(주)케이비지,KBG,318000,부삼열,코스닥,1615110041619.0,3128147440,충청남도 천안시 동남구 성남면 대흥신덕길 84-19,www.kbgtech.co.kr/,미제공,041-523-6201,041-523-6203,20202,20010302,12
01381984,(주)스카이월드와이드,스카이월드와이드,357880,신재혁,코스닥,1101115255214.0,2208868408,서울특별시 강남구 테헤란로 516 정헌빌딩 4층,bitnine.net,미제공,070-4800-3517,070-8677-2552,58222,20131028,12
01867758,한화비전(주),한화비전,489790,안순홍,유가,1311110745562.0,6808603414,경기도 성남시 분당구 판교로319번길 6,www.hanwhavision.com,미제공,070-7147-8880,031-8018-3716,64992,20240902,12
00225742,엘에스마린솔루션 주식회사,LS마린솔루션,060370,"구본규, 구영헌",코스닥,1801110181428.0,6188118519,부산광역시 동구 중앙대로 184 16층,lsmarinesolution.co.kr,미제공,(051)704-0004,051-704-0322,423,19950417,12
00390860,(주)대산에프앤비,대산F&B,065150,김상욱,코스닥,1101111194739.0,2148193179,"서울특별시 서초구 서초중앙로 224 2층 205호(반포동,한양상가)",www.mrpizza.co.kr,www.mrpizza.co.kr,02-596-3300,031-8017-1106,463,19950907,12
00535746,(주)컴투스홀딩스,컴투스홀딩스,063080,정철호,코스닥,1101111848914.0,1198134778,서울특별시 금천구 가산디지털1로 131 에이동 4층,com2us.com/holdings,미제공,02-876-5252,02-874-6729,582,20000110,12
