회사코드,회사명,요약_HTML
100601,강원에너지,"```html
<div class=""company-report"">
    <h2 class=""company-name"">강원에너지 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 강원에너지는 2차전지 소재 및 설비, 플랜트 설비를 주력으로 하는 에너지 및 화공 산업에 속합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 이 회사는 2차전지 소재, 2차전지 설비, 산업용 증기발생기, 화공 및 환경에너지 설비 분야에서 사업을 전개하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 주요 제품으로는 리튬 가공, 2차전지 설비, 스팀 증기발생기, 황회수설비, 폐열회수 증기발생기 등이 있습니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내외 대규모 산업단지 및 2차전지 제조업체를 주요 고객으로 하며, 해외 시장으로도 사업을 확장하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 강원에너지는 코스닥에 상장되어 있으며, 2차전지 양극재 공정 설계 및 생산에서 기술력을 강화하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 이 회사는 지속적인 기술 개발과 해외 프로젝트 확대를 통해 안정적인 성장세를 유지할 것으로 기대됩니다.</p>
</div>
```"
100939,강남제비스코,"```html
<div class=""company-report"">
    <h2 class=""company-name"">강남제비스코 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 강남제비스코는 도료 및 합성수지, 복합성형재료 산업에 종사하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 도료, 합성수지, 복합성형재료의 제조 및 판매를 주요 사업으로 영위하며, 건축, 선박, 자동차 등 다양한 분야에 제품을 공급합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 건축, 선박, 자동차용 도료, 공업용 및 건축자재용 합성수지, 자동차부품 및 사무용품 등을 생산합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내외 건축, 선박, 자동차 시장을 포함하여 다양한 산업 분야에 진출하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 2023년 매출은 전년 대비 감소하였으며, 전반적인 경제 불황 속에서 수익성 개선을 위해 노력하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 신규 사업으로 이차전지용 도전재 시장 진출을 추진하며, 고부가가치 제품 개발을 통해 지속적인 성장을 도모합니다.</p>
</div>
```"
101220,KG케미칼,"```html
<div class=""company-report"">
    <h2 class=""company-name"">KG케미칼 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> KG케미칼은 건설소재와 비료 제조 및 판매를 주 사업으로 하는 화학 산업에 속합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> KG케미칼은 건설관련 화학소재사업, 생명농업사업, 친환경사업 및 항만물류사업을 주로 영위합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> KG케미칼은 감수제, 유지제, 친환경 유기질 비료, 천연성분 작물보호제 및 Adblue 차량용 요소수 등을 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> KG케미칼의 주요 고객은 국내외 주요 기업과 농협중앙회 및 단위농협 등입니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> KG케미칼은 37개의 종속회사를 보유하고 있으며, 다양한 분야로 사업을 확장하며 운영 중입니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> KG케미칼은 친환경 및 첨단 기술을 활용하여 지속 가능한 성장을 모색하고 있습니다.</p>
</div>
```"
101257,경남기업,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경남기업 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경남기업은 종합건설업에 속하며, 건축, 토목, 플랜트 등 다양한 분야에서 사업을 전개하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경남기업은 건축, 토목, 플랜트, 전기, 환경/에너지 사업, 문화재 보수 등 다양한 프로젝트를 수행하며 건설기술과 시공 품질에서 우수성을 인정받고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 경남기업은 토목 및 건축 공사, 플랜트 건설, 전기공사, 조경사업, 주택건립 및 분양사업, 철강재 설치, 환경오염 방지 시설 등 다양한 제품과 서비스를 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경남기업의 주요 고객은 한국토지주택공사, 한국철도시설공단, 조달청 등이며, 국내외 시장에서 활동하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경남기업은 최근 어려운 건설 시장 환경 속에서도 지속적인 수주 활동을 이어가고 있으며, 도급 사업에서 성과를 거두고 있습니다. 건축 분양 사업은 금리 인상으로 인해 다소 침체된 상태입니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경남기업은 고금리와 건설 비용 상승 등 어려운 환경 속에서도 단기적으로 수익성과 재무 건전성을 확보하며, 중장기적으로 경제성 있는 사업부지 확보를 통해 성장할 계획입니다.</p>
</div>
```"
101433,경농,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경농 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 농약 제조 및 판매업입니다. 경농은 농약, 비료, 농업용 기계 및 장비 등을 제조 및 판매하며 농업 분야에 집중합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경농은 주로 농약의 제조와 판매를 핵심 사업으로 하며, 비료와 스마트팜 제품도 취급합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 경농의 주요 제품은 작물보호제, 비료, 스마트팜 관련 제품 등이 있습니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경농의 주요 고객은 농협을 포함한 국내 농업 관련 시장입니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경농은 2023년 기준 연결 매출액 347,408백만원을 기록하며, 전년 대비 매출이 감소하였습니다. 주요 계열사로는 비료 제조에 중점을 둔 (주)조비가 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경농은 스마트농업과 정밀농업의 발전에 따라 기능성 비료 수요 증가가 예상되며, 지속 가능한 농업 정책의 변화에 대응하고 있습니다.</p>
</div>
```"
101488,경동나비엔,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경동나비엔 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 생활환경 에너지 전문 산업에 속해 있으며, 냉난방기기, 열연소 기구, 신재생에너지 기기 등을 제조, 판매합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 가스보일러, 기름보일러, 온수기 등의 제조 및 판매를 주력으로 하며, 신재생에너지 관련 기기의 설치 및 서비스도 제공합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 가스보일러, 기름보일러, 온수기, 콘덴싱보일러, 공기조화장치 및 IoT 관련 전자기기 등이 있습니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 한국을 비롯한 북미, 유럽, 중국, 러시아 등 글로벌 시장에 진출하여 판매와 서비스를 제공하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 국내외 시장에서 품질과 기술력을 바탕으로 경쟁력을 유지하며, 친환경 콘덴싱보일러의 수요 증가에 대응하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 고효율 및 친환경 제품의 수요 증가에 따라 미주와 유럽 시장에서의 유통 채널 확장을 통해 지속적인 성장이 예상됩니다.</p>
</div>
```"
101549,경동제약,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경동제약 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경동제약은 의약품 제조 및 판매를 주력으로 하는 제약 산업에 속해 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경동제약은 제약 부문과 임대 부문 등의 사업을 영위하며, 주요 매출은 제약 부문에서 발생하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 주요 제품으로는 아트로반정과 듀오로반정을 포함하며, 순환기계용제, 소화기관용제 등의 전문의약품을 생산합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내 병원, 의원, 약국을 중심으로 하는 내수시장이 주력이며, 수출 비중은 약 3%를 차지합니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경동제약은 수출 확대를 위해 조직을 강화하고 있으며, 바이오업체 투자와 신제품 개발에 집중하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 새로운 건강기능식품 브랜드 론칭과 함께 매출 성장을 도모하고, 바이오 분야의 성장을 위한 투자를 지속하고 있습니다.</p>
</div>
```"
101628,경방,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경방 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경방은 섬유 산업과 부동산 개발 및 임대업을 영위합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경방은 면사, 혼방사, 화섬사 등 섬유소재의 제조 및 판매와 부동산 개발 및 임대업, 백화점, 호텔, 복합 쇼핑몰 운영을 주요 사업으로 삼고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 경방은 원면과 화학섬유를 혼합한 코마사, 혼방사를 포함한 다양한 섬유 제품을 생산하며, 복합 쇼핑몰과 호텔, 백화점의 운영 서비스를 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경방의 주요 시장은 글로벌 섬유 브랜드와 다양한 지역의 부동산 임대 수요자들입니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경방은 ESG 경영과 Responsible sourcing 정책을 강화하며, 생산성 향상과 원가 절감을 통해 경쟁력을 유지하고 있습니다. 2023년 기준 매출액은 3,935억 원이며, 당기순이익은 -134억 원입니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경방은 친환경 섬유 제품의 확대와 부동산 사업의 지속적인 임대 수익 극대화를 통해 향후 성장 가능성을 높이고 있습니다.</p>
</div>
```"
101664,경보제약,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경보제약 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경보제약은 제약 산업에 속하며, 원료의약품 및 완제의약품 제조업을 주로 영위합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경보제약은 원료의약품과 완제의약품을 주요 사업으로 하며, 순환기 약물과 흡입마취제를 포함합니다. 또한, 의료기기와 동물의약품, 영양제 등 동물건강 분야 사업도 활발히 전개하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 주요 제품으로는 아토르바스타틴, 세파계 항생제, 맥시제식 주사제, 빌다/빌다매트정 등이 있습니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경보제약은 국내 원료의약품 시장뿐만 아니라 해외 선진국으로도 제품을 수출하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 2023년 기준 경보제약은 총 매출 2,164억 원을 달성하였으며, ADC 항암제 관련 기술을 개발하며 글로벌 시장 진출을 준비하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경보제약은 미래 성장 산업에 대한 지속적인 투자와 제약 산업 내 수익성을 증대할 수 있는 분야를 개척해 나가고 있습니다.</p>
</div>
```"
101752,케이씨피드,"```html
<div class=""company-report"">
    <h2 class=""company-name"">케이씨피드 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 케이씨피드는 배합사료 및 식품 가공업에 속하며, 가축사료와 식품 원자재를 제조하는 산업에 종사합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 케이씨피드는 가축가금용 배합사료 제조와 계란 가공 및 액란 판매를 주요 사업으로 하며, 비료 생산과 금융 서비스를 통해 종합적인 축산 관련 서비스를 제공합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 배합사료, 계란 제품, 액란 및 가축분퇴비 '봉선화'를 생산하며, 축산 농가의 효율적 운영을 위한 금융 서비스도 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 주로 영남권을 중심으로 배합사료를 판매하며, 베이커리 원료 시장에 액란을 공급하고 있습니다. B2B 채널을 통해 주로 식품 가공업체와 거래합니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 케이씨피드는 시장 변화에 능동적으로 대응하며 품질 혁신에 주력하고 있으며, 계란 가공 부문에서 시장 점유율을 확대하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 국민 소득 증가와 식생활 변화에 따라 배합사료 수요가 지속적으로 성장할 것으로 예상되며, B2B 채널의 수요 증가로 식품 사업부의 성장 가능성도 기대됩니다.</p>
</div>
```"
