재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,dart_CashAndDuefromBanks,         현금및예치금,"266,812,342,859","371,610,653,745","118,482,332,192"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,entity00168933_CurrentTaxAssetsOfAssetsAbstract,         특별계정자산,0,0,"1,775,308,347,187"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,entity00168933_udf_BS_20242231362726OfAssetsAbstract,         당기손익인식금융자산,0,"1,148,185,347,560","248,493,596,592"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,entity00168933_udf_BS_202422313629758OfAssetsAbstract,         매도가능금융자산,0,"2,429,891,660,055","2,539,647,803,999"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,entity00168933_udf_BS_202422313643694OfAssetsAbstract,         만기보유금융자산,0,"3,169,606,121,657","2,457,942,615,420"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,entity00168933_udf_BS_20242231379310OfAssetsAbstract,         대출채권,0,"3,722,847,223,678","4,582,255,983,118"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"10,321,971,588,094","11,423,055,647,955","12,666,082,407,515"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_CurrentTaxAssets,         당기법인세자산,0,0,"15,191,893,648"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_DeferredTaxAssets,         이연법인세자산,0,0,"47,322,144,899"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_DerivativeFinancialAssetsHeldForHedging,         위험회피목적파생상품자산,"73,163,061,570","82,579,366,670","8,719,649,420"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtAmortisedCost,         상각후원가측정금융자산,0,0,0
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,         기타포괄손익-공정가치측정금융자산,"6,555,448,420,241",0,0
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,         당기손익-공정가치측정금융자산,"2,881,505,997,482",0,0
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsAndGoodwill,         무형자산,"34,913,586,739","33,516,910,566","12,809,807,064"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_InvestmentProperty,         투자부동산,"199,722,655,961","197,323,864,206","185,393,857,791"
"재무상태표, 보험 - 연결",[null],DB생명보험,기타법인,651,보험업,12,2023-12-31,사업보고서,KRW,ifrs-full_OtherNonfinancialAssets,         기타자산,"279,093,061,858","233,371,567,302","633,419,677,773"
