재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_InstallmentFinancialAssets,         할부금융자산,"439,146,539,749","415,100,774,711","348,786,754,843"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_LeasedAssets,         리스자산,"1,805,063,004,884","1,380,722,927,761","1,283,145,824,911"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_SecuritiesAtFairValueThroughProfitOrLoss,         당기손익-공정가치측정금융자산,"376,619,197,289","354,920,496,651","300,438,337,892"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"8,972,818,058,364","8,605,199,010,217","8,444,534,407,032"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_CashAndCashEquivalents,         현금및현금성자산,"115,599,178,131","99,402,219,623","330,875,831,908"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinanceLeaseReceivables,         리스채권,"459,662,385,803","486,856,373,268","611,105,622,043"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtAmortisedCost,         상각후원가측정금융자산,"5,591,363,998,437","5,684,192,415,820","5,422,250,088,659"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_DueFromBanksAtAmortisedCost,            상각후원가측정예치금,"1,294,064,000","1,271,964,000","893,789,000"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_LoansAtAmortisedCost,            상각후원가측정대출채권,"5,488,446,786,855","5,594,472,024,448","5,336,703,661,448"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_OtherFinancialAssetsAtAmortisedCost,            상각후원가측정기타금융자산,"101,623,147,582","88,448,427,372","84,652,638,211"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsAndGoodwill,         무형자산,"9,236,408,530","8,971,828,905","9,461,816,255"
"재무상태표, 기타 - 연결",[null],BNK캐피탈,기타법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_InvestmentAccountedForUsingEquityMethod,         관계기업투자주식,"96,339,457,312","89,520,128,010","68,132,746,013"
